GroundTruth     1attempt        2attempt        3attempt        4attempt        5attempt        6attempt        7attempt         
T               t               y               6               g               5               h               r                
h               h               g               b               n               y               t               j                
e               e               4               3               d               r               s               w                
Key.space       Key.space       n               m               b               h               ,               j                
r               r               f               t               g               5               d               4                
o               o               l               p               ;               0               9               i                
c               c               x               d               s               z               v               f                
k               t               r               5               f               g               4               6                
e               e               d               s               3               w               4               r                
t               3               4               2               e               5               w               r                
Key.space       /               .               ,               Key.shift_r     l               '               ;                
l               l               o               ;               p               k               .               i                
a               a               z               w               q               s               Key.shift       x                
u               u               i               7               8               j               y               k                
n               n               Key.space       m               h               b               j               g                
c               c               x               d               s               f               z               v                
h               h               g               y               b               n               t               j                
e               e               3               w               d               4               s               r                
d               e               s               d               w               x               3               r                
Key.space       /               .               Key.shift_r     ,               '               Key.enter       l                
a               a               z               w               q               s               Key.shift       x                
t               t               y               6               5               g               h               r                
Key.space       m               n               Key.space       ,               j               k               h                
9               9               0               o               8               i               p               -                
Key.shift_r     Key.shift_r     Key.enter       /               '               .               ;               p                
:               ;               p               l               '               o               .               /                
4               4               r               5               e               3               f               d                
1               1               q               2               a               w               3               e                
Key.space       /               .               ,               '               Key.shift_r     l               ;                
a               a               z               w               q               s               Key.shift       x                
.               .               /               ,               l               ;               '               k                
m               m               ,               n               k               j               Key.space       l                
.               .               /               l               ,               ;               k               '                
Key.space       /               Key.shift_r     .               '               Key.enter       ;               ,                
Key.shift       Key.shift       a               z               q               w               x               s                
E               e               s               d               w               3               x               r                
T               t               y               6               5               g               h               r                
Key.space       m               n               Key.space       ,               j               k               h                
f               r               f               t               d               5               4               g                
r               r               f               4               5               t               d               e                
o               o               l               k               i               ;               p               9                
m               m               j               n               k               ,               Key.space       h                
Key.space       Key.space       n               b               v               h               m               g                
Key.shift       Key.shift       a               z               q               x               w               s                
N               n               Key.space       b               h               m               j               g                
A               a               q               w               Key.shift       z               2               s                
S               s               x               d               z               w               e               a                
A               q               1               a               2               w               Key.shift       3                
'               '               ;               p               Key.enter       /               Key.shift_r     =                
s               s               d               e               w               x               z               c                
Key.space       Key.space       n               b               m               h               v               j                
Key.shift       Key.shift       a               z               q               x               w               s                
K               k               i               l               j               o               m               ,                
e               e               3               w               s               d               4               r                
n               n               Key.space       h               m               j               b               g                
n               n               Key.space       m               h               b               j               g                
e               e               d               s               r               3               w               4                
d               e               3               4               w               d               s               r                
y               y               6               t               7               h               u               g                
Key.space       v               b               g               f               c               t               h                
Key.shift       Key.shift       z               a               x               q               s               w                
S               s               d               x               w               e               z               c                
p               p               0               ;               -               o               '               =                
a               a               q               z               w               Key.shift       s               2                
c               c               v               x               f               d               s               r                
e               e               s               d               w               3               4               r                
Key.space       Key.space       n               b               m               h               v               j                
Key.shift       Key.shift       a               z               q               w               1               x                
C               c               d               x               f               s               v               r                
e               e               3               d               w               s               4               r                
n               n               Key.space       h               b               m               j               g                
t               t               y               6               g               5               h               r                
r               r               f               d               4               t               e               5                
e               e               3               w               s               d               4               r                
Key.space       m               ,               Key.space       n               k               j               .                
i               i               u               8               k               j               o               7                
n               n               Key.space       m               h               j               b               g                
Key.space       v               b               Key.space       n               g               h               c                
Key.shift       Key.shift       a               z               q               x               w               s                
F               f               r               g               t               v               c               5                
l               l               o               ;               k               .               p               i                
o               o               0               9               l               p               i               ;                
r               r               f               d               t               5               4               e                
i               8               u               i               7               9               j               o                
d               d               s               x               e               c               w               z                
a               Key.shift       a               q               z               w               1               s                
,               ,               m               .               k               l               j               n                
Key.space       Key.space       n               m               b               h               ,               j                
h               h               y               g               b               t               n               j                
a               a               Key.shift       q               z               w               s               2                
u               u               7               i               j               8               y               k                
l               l               k               o               .               ,               ;               i                
i               k               i               j               o               u               l               m                
n               n               Key.space       h               m               j               b               g                
g               g               b               t               h               f               v               y                
Key.space       v               b               Key.space       g               n               h               f                
s               s               d               x               e               w               z               c                
a               a               z               w               Key.shift       q               s               x                
t               y               t               6               5               g               h               7                
e               e               d               s               w               r               3               x                
l               l               ;               o               .               k               p               ,                
l               l               o               ;               k               .               ,               p                
i               u               j               i               k               8               7               y                
u               u               j               i               k               8               7               y                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
t               t               y               g               5               6               r               h                
e               e               s               w               d               3               x               4                
s               s               w               d               x               z               e               a                
Key.space       Key.space       n               b               h               v               m               g                
t               t               g               y               h               6               5               f                
o               o               l               ;               p               0               i               9                
Key.space       Key.space       n               b               h               m               v               g                
s               s               d               w               e               x               z               a                
p               p               ;               o               0               l               '               -                
a               a               w               z               q               s               Key.shift       2                
c               c               v               f               x               d               r               g                
e               e               s               d               w               3               x               r                
Key.space       v               b               Key.space       g               c               n               f                
f               f               r               d               c               e               g               t                
p               p               ;               '               0               o               -               l                
Key.backspace   Key.backspace   =               Key.enter       '               -               Key.shift_r     p                
o               l               o               ;               k               i               p               .                
r               r               f               4               5               t               e               d                
Key.space       ,               m               .               k               n               Key.space       j                
t               t               g               5               y               r               f               6                
h               h               y               j               n               g               b               u                
e               e               s               d               w               3               4               r                
Key.space       v               b               Key.space       c               g               f               n                
m               m               ,               n               Key.space       j               k               h                
i               i               u               j               8               k               7               o                
l               l               o               k               ;               .               ,               i                
i               i               o               k               9               8               u               l                
t               t               g               y               5               r               f               6                
a               a               z               q               w               Key.shift       s               2                
r               r               f               t               5               4               g               d                
y               y               t               h               6               g               u               7                
Key.space       Key.space       b               n               v               h               g               m                
i               i               k               j               u               o               l               8                
n               n               Key.space       h               b               m               j               g                
a               a               z               w               q               s               Key.shift       x                
Key.backspace   Key.backspace   =               Key.enter       '               -               Key.shift_r     p                
Key.space       x               c               z               d               s               v               f                
a               a               z               w               q               Key.shift       s               2                
Key.space       v               b               Key.space       g               n               h               f                
s               s               x               d               z               w               e               a                
e               e               d               s               3               w               4               r                
c               c               v               f               x               d               b               g                
r               f               r               d               t               c               g               e                
e               s               w               e               d               x               z               a                
t               t               g               y               5               6               r               f                
i               i               u               8               k               j               9               o                
v               v               b               g               c               f               Key.space       h                
e               w               e               s               d               3               2               a                
Key.space       Key.space       b               v               n               g               h               m                
m               m               n               ,               Key.space       j               k               h                
i               i               k               u               j               o               8               l                
s               s               d               x               e               w               z               c                
s               s               d               w               x               e               z               a                
i               k               i               j               u               o               l               m                
o               o               i               9               k               l               0               8                
n               n               Key.space       h               m               b               j               g                
Key.space       v               b               Key.space       g               n               c               f                
d               d               e               s               f               r               c               x                
u               u               7               8               i               j               y               6                
b               b               Key.space       n               v               h               g               t                
b               b               n               Key.space       h               g               v               j                
e               e               s               w               d               3               x               r                
d               d               c               s               x               e               f               r                
Key.space       .               ,               /               m               l               k               ;                
Key.shift       Key.shift       a               z               q               x               w               s                
U               u               8               7               i               j               9               y                
S               s               d               x               e               w               z               c                
S               s               x               d               z               w               e               a                
F               f               r               d               c               g               t               e                
-               -               =               p               0               ;               '               o                
4               4               3               r               e               5               d               f                
4               4               3               e               r               5               d               w                
.               .               ,               l               /               k               ;               m                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.shift       Key.shift       a               z               q               w               x               1                
T               t               5               y               6               g               r               f                
h               h               n               b               g               y               j               Key.space        
e               e               3               w               4               s               d               r                
Key.space       e               3               w               4               s               d               r                
Key.shift       Key.shift       a               z               q               w               x               s                
F               f               r               g               t               v               c               d                
a               a               w               q               z               s               2               e                
l               l               o               ;               k               .               p               i                
c               c               d               x               f               v               s               r                
o               o               l               ;               p               0               i               9                
n               Key.space       n               b               m               h               j               g                
Key.space       m               n               ,               Key.space       j               k               h                
Key.shift       Key.shift       a               z               q               x               w               s                
H               h               y               j               g               u               n               t                
e               e               d               s               w               3               r               4                
a               a               z               Key.shift       q               w               s               x                
v               v               b               g               f               c               Key.space       h                
y               y               6               7               u               t               h               g                
Key.space       v               b               g               f               Key.space       c               h                
d               d               f               r               c               e               s               x                
e               e               s               d               w               3               r               x                
b               b               Key.space       v               n               g               h               f                
u               u               7               8               i               j               y               k                
t               t               y               g               6               5               h               r                
e               e               s               w               d               3               x               r                
d               d               c               s               f               e               r               x                
Key.space       ,               m               .               k               n               Key.space       l                
o               o               l               i               ;               9               k               p                
Key.backspace   =               Key.backspace   -               p               '               0               Key.enter        
i               k               i               j               o               l               u               m                
n               n               Key.space       b               h               g               m               j                
Key.space       m               ,               Key.space       n               .               k               j                
2               2               1               q               w               3               a               e                
0               0               p               -               o               9               ;               =                
1               1               q               2               a               w               3               Key.shift        
8               8               7               9               u               i               o               j                
Key.space       Key.shift_r     /               Key.enter       .               '               ;               ,                
t               t               g               y               5               6               h               r                
o               o               l               i               k               ;               9               p                
Key.space       0               9               p               o               -               ;               l                
m               i               8               9               u               o               7               k                
u               u               i               8               7               j               k               y                
c               d               f               c               r               s               x               e                
h               h               n               g               b               y               j               Key.space        
Key.space       m               ,               Key.space       n               k               j               .                
f               f               r               c               d               g               v               t                
a               a               q               w               2               s               z               1                
n               n               Key.space       b               h               m               j               g                
f               f               r               g               t               v               c               d                
a               a               q               w               z               Key.shift       s               2                
r               r               f               d               4               e               5               t                
e               e               s               d               w               3               r               4                
Key.space       ,               .               m               /               l               k               ;                
a               a               q               z               w               Key.shift       s               2                
s               s               x               d               z               e               w               c                
Key.space       v               b               c               Key.space       g               f               n                
Key.shift       Key.shift       a               z               q               w               x               s                
S               s               x               d               z               w               e               c                
p               p               ;               0               -               '               =               o                
a               a               q               Key.shift       w               z               2               s                
a               2               1               q               3               w               a               e                
c               c               v               f               x               d               b               g                
e               e               3               w               s               d               4               r                
Key.shift       Key.shift       a               z               q               x               s               w                
X               x               c               d               s               z               f               e                
Key.space       /               .               Key.shift_r     ,               '               Key.enter       ;                
Key.shift       Key.shift       a               z               q               x               w               s                
C               c               v               x               f               d               b               s                
E               e               r               d               4               f               3               s                
O               o               l               i               k               9               ;               0                
Key.space       m               n               Key.space       ,               j               k               h                
Key.shift       Key.shift       z               a               x               q               s               w                
E               e               3               d               s               4               w               r                
l               l               o               ;               k               .               p               i                
o               o               l               i               9               0               ;               p                
n               n               Key.space       h               b               m               j               g                
Key.space       Key.space       b               n               v               h               g               m                
Key.shift       Key.shift       a               z               q               x               w               s                
M               m               ,               n               j               Key.space       k               h                
u               u               i               j               8               7               k               y                
s               3               e               w               2               s               4               d                
k               k               l               i               o               j               ,               m                
Key.space       Key.space       n               b               m               h               v               ,                
e               e               s               d               w               3               4               r                
l               l               k               o               i               ,               ;               .                
e               e               s               w               d               3               4               r                
c               c               x               v               d               f               s               z                
t               g               t               f               r               h               b               y                
e               e               d               s               w               r               3               x                
d               d               s               x               c               e               f               r                
Key.space       b               Key.space       v               n               h               g               m                
t               t               g               f               r               5               y               h                
o               6               5               y               t               7               u               g                
Key.space       Key.space       n               b               m               h               v               g                
l               l               o               k               i               ;               ,               .                
a               a               q               w               Key.shift       z               s               2                
u               u               i               7               8               j               y               k                
n               n               Key.space       b               h               m               j               g                
c               c               x               d               f               v               s               z                
h               h               y               j               u               n               g               b                
Key.space       Key.space       n               m               b               ,               h               j                
j               j               u               k               i               m               h               n                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               Key.shift_r      
h               h               g               y               t               b               n               j                
i               i               u               8               7               9               j               k                
s               d               s               x               e               c               w               z                
Key.space       e               w               s               3               d               2               4                
p               p               ;               0               o               -               l               '                
e               e               d               s               3               w               4               r                
r               r               f               d               e               4               t               5                
s               s               d               x               w               e               z               a                
o               o               l               i               9               0               ;               p                
n               n               Key.space       h               m               j               b               g                
a               a               z               w               q               s               Key.shift       x                
l               l               o               k               ;               .               ,               i                
Key.space       Key.space       b               n               h               v               g               m                
Key.shift       Key.shift       a               z               q               w               1               s                
T               t               g               y               5               f               h               r                
e               e               s               d               w               3               r               x                
s               x               s               z               d               w               c               e                
l               l               o               ;               k               .               ,               i                
a               a               w               q               s               z               2               e                
Key.space       /               .               ,               l               ;               '               Key.shift_r      
Key.shift       Key.shift       z               a               x               q               s               w                
R               r               f               4               5               t               d               e                
o               o               l               ;               p               i               k               0                
a               a               z               q               w               Key.shift       s               2                
d               d               s               x               c               e               f               r                
s               s               d               x               e               w               z               c                
t               t               g               y               5               r               f               6                
e               s               e               w               d               x               3               z                
r               r               f               d               e               4               t               5                
Key.space       Key.space       n               b               h               m               v               g                
a               a               q               w               z               Key.shift       s               2                
s               s               d               e               w               x               z               3                
Key.space       c               x               d               s               f               z               v                
t               t               g               r               f               5               y               6                
e               e               3               w               4               s               d               r                
s               e               3               w               s               2               d               4                
t               g               t               f               r               h               b               y                
Key.space       m               Key.space       n               ,               j               b               k                
p               0               p               -               ;               o               9               =                
a               a               z               q               Key.shift       w               s               2                
y               y               6               t               h               g               7               u                
l               l               ;               o               .               k               ,               p                
o               o               l               ;               i               p               k               0                
a               a               q               Key.shift       z               w               2               1                
d               d               s               x               e               c               f               r                
Key.space       m               ,               Key.space       n               .               k               j                
o               o               l               i               k               ;               9               p                
n               n               Key.space       b               h               m               j               g                
Key.space       Key.space       n               b               m               h               v               g                
t               t               y               5               6               g               r               h                
h               h               y               g               n               j               b               t                
e               e               s               d               w               3               4               r                
Key.space       Key.space       n               m               b               h               j               ,                
l               o               l               k               ;               i               p               .                
a               a               q               z               Key.shift       w               s               2                
u               u               i               j               8               7               k               y                
n               n               Key.space       h               b               m               j               g                
c               c               x               d               s               z               f               v                
h               h               y               j               n               g               u               b                
.               .               /               l               ,               ;               '               k                
Key.space       m               Key.space       n               ,               j               b               k                
Key.shift       Key.shift       a               z               q               w               1               x                
T               t               y               g               5               6               r               f                
h               h               n               j               y               b               u               g                
